Text,Topic
#Brand in #Prenzlauer_Berg Es brennt das Dach eines Wohngebäudes in der #Paul_Robeson_Straße  Es wurden weitere Fahrzeuge und Kräfte nachalarmiert. Wir sind hier aktuell mit rund 52 Kräften im Einsatz bzw. auf der Anfahrt.  Weitere Infos folgen …,Brand
"In der vergangenen Nacht kam es in der #Charlottenburger_Straße in #Weißensee zu einem #Brand in einer Wohnung eines dreigeschossigen Mehrfamilienhauses. Dabei konnte eine Person nur noch tot geborgen werden. Eingesetzt: 1 C-Rohr, 4 Atemschutzgeräte. Vor Ort: 22 Kräfte. #EstuK",Brand
"#Brand im Keller eines #Hochhaus​es in der #Bismarckstraße in #Charlottenburg. Rauchausbreitung in mehrere Hausaufgänge. Alles kontrolliert und belüftet. Keiner verletzt. Eingesetzt: u.a. 1 C-Rohr, 10 Atemschutzgeräte, 1 Drucklüfter. Vor Ort waren wir mit 48 Kräften. #EstuK  ",Brand
"In der Straße #Rue_Racine in #Wittenau kam es in einer ehemaligen Schule zu einem #Brand im Keller des dreigeschossigen leerstehenden Gebäudes. Im Einsatz waren 38 Kräfte (auch die #FF mit 2 TLF und 1 SW) und setzten u.a. 1 C-Rohr, 2 Atemschutzgeräte und 1 Drucklüfter ein. #EstuK  ",Brand
"In der #Danziger_Straße in #Prenzlauer_Berg kam es zu einem #Brand in der Küche eines Restaurants im EG eines fünfgeschossigen Gebäudes. Wir setzten u.a. 1 C-Rohr, 4 Atemschutzgeräte und 1 Drucklüfter ein. Mehrere Wohnungen kontrolliert. Keiner verletzt. 24 Kräfte tätig. #EstuK  ",Brand
"(2/2) 120 Kräfte sind aktuell im Einsatz, darunter auch alle 3 #Lehrfeuerwachen und diverse #Freiwillige_Feuerwehr|en. Die Brandbekämpfung läuft über 2 #DLK und mit diversen Strahlrohren im Innen- und Außenangriff. Zur Lagebeurteilung wird eine #Drohne eingesetzt.  ",Brand
"Update #Wedding (1/2) Es brennt eine Wohnung im 4. OG mit Übergriff auf das 350 qm große Dach des 5-geschossigen Wohnhauses. 2 Personen wurden verletzt, wovon 1 P. in eine Klinik gebracht wurde. Rund 50 Personen wurden aus dem Gebäude in Sicherheit gebracht und im #MTF3 betreut.  ",Brand
#Brand in einem Wohngebäude mit Übergriff auf das Dach in der #Amsterdamer_Straße in #Wedding. Es wurden weitere Fahrzeuge und Kräfte nachalarmiert. Wir sind hier aktuell mit rund 110 Kräften im Einsatz bzw. auf der Anfahrt.  Weitere Infos folgen …,Brand
"Update: Es brannte in einem Industriebetrieb eine Reinigungsflüssigkeit. Der Brand wurde mit 50 kg Sonderlöschmittel (CO2) erfolgreich bekämpft. Eine Person wurde durch den Rettungsdienst gesichtet, Personen u. Umwelt waren nicht gefährdet.Wir waren mit 101 Einsatzkräften vor Ort  ",Brand
"Update: Der Brand wurde mit 2 C-Rohren gelöscht. Ein in der Anfangsphase eingesetztes C-Rohr im Außenangriff konnte die weitere Brand- u. Rauchentwicklung erfolgreich begrenzen. Es wurden ca. 90 Einsatzkräfte alarmiert, darunter auch unsere #Lehrfeuerwache . #goodjob",Brand
Eine Person ist in #Mitte von der Treppe gestürzt. Ein #RTW ist bereits auf dem Weg.  #112live #Berlin112,Rettungseinsatz
In #Prenzlauer_Berg ist ein Aufzug stecken geblieben. Ein #LHF macht sich auf dem Weg zum Einsatzort.   #112live #Berlin112,Rettungseinsatz
In #Baumschulenweg klagt eine Person über plötzlich einsetzende starke Brustschmerzen. Ein #RTW der FW Treptow und eine #NEF aus Neukölln sind alarmiert.   #112live #Berlin112,Rettungseinsatz
Verletzte Person nach Körperverletzung in #Charlottenburg. Ein #RTW trifft gleich ein. #112live #Berlin112,Rettungseinsatz
In #Friedrichshain kam es zu einem Medizinischen Notfall mit einer Bewusstseinsstörung. Wir sind mit dem #NEF der FW Urban und dem #RTW der @JUHBerlin vor Ort. #112live #Berlin112  ,Rettungseinsatz
Vergiftung in #Prenzlauerberg mit #Bewusstseinstrübung. Eine weibliche Person hat laut Meldung eine #Medikamentenüberdosis. Der #RTW von der #FW_Friedrichshain ist auf dem Weg.  #112live #Berlin112,Rettungseinsatz
Über #Brustschmerz klagt eine weibliche Person in #Köpenick. Ein #RTW und ein #NEF sind bereits auf der Anfahrt. #112live #Berlin112,Rettungseinsatz
In #Wilmersdorf wurde eine Person von einem Fahrzeug angefahren und verletzt. Ein #RTW und ein #NEF sind auf dem Weg. #112live #Berlin112,Rettungseinsatz
Eine männliche Person  klagt über #Brustschmerzen und #Atembeschwerden in #Marzahn. Der #RTW der #FW_Marzahn ist unterwegs.  #112live #Berlin112,Rettungseinsatz
Uns erwartet die Polizei zu einer verletzten Person nach Schlägerei in #Gesundbrunnen. Wir rücken aus. #112live #Berlin112,Rettungseinsatz
"#Verkehrsunfall zwischen einem Schulbus und 2 Pkw an der #Falkenseer_Chaussee in #Spandau. 15 Personen, darunter 11 Kinder wurden vom #Rettungsdienst gesichtet. 2 Erwachsene und alle 11 Kinder wurden in umliegende Kliniken gebracht. Alle Betroffenen waren nur leicht verletzt.  ",Verkehrsunfall
"In der Nacht kam es zu einem #Verkehrsunfall im Bereich #Kronprinzessinenweg Ecke #Havelchaussee in #Nikolassee, bei dem sich ein #Pkw überschlug und auf dem Dach liegen blieb. Die vier Insassen wurden schwer verletzt und nach notärztlicher Versorgung in Krankenhäuser gebracht.",Verkehrsunfall
Update #Dahlem eine verletzte Person wurde nach dem Verkehrsunfall vom #Rettungsdienst behandelt und in eine Klinik transportiert. Die beschädigte Laterne wurde mit Hilfe einer #DLK gegen umstürzen gesichert.    #112live #Berlin112,Verkehrsunfall
In #Karlshorst fordert die @polizeiberlin ein #LHF zum aufrichten eines PKW nach einem Verkehrsunfall an. Es soll niemand verletzt sein. #112live #Berlin112,Verkehrsunfall
